abbr,canonical_major_id,year,has_thpt,has_base
HUST,TTNT & Khoa hoc du lieu,2024,True,False
HUST,TTNT & Khoa hoc du lieu,2025,True,False
HaUI,An toan thong tin / An ninh mang,2024,True,True
HaUI,An toan thong tin / An ninh mang,2025,True,True
HaUI,Cong nghe thong tin,2019,True,True
HaUI,Cong nghe thong tin,2020,True,True
HaUI,Cong nghe thong tin,2021,True,True
HaUI,Cong nghe thong tin,2022,True,True
HaUI,Cong nghe thong tin,2023,True,True
HaUI,Cong nghe thong tin,2024,True,True
HaUI,Cong nghe thong tin,2025,True,True
HaUI,He thong thong tin,2019,True,True
HaUI,He thong thong tin,2020,True,True
HaUI,He thong thong tin,2021,True,True
HaUI,He thong thong tin,2022,True,True
HaUI,He thong thong tin,2023,True,True
HaUI,He thong thong tin,2024,True,True
HaUI,He thong thong tin,2025,True,True
HaUI,Khoa hoc may tinh,2019,True,True
HaUI,Khoa hoc may tinh,2020,True,True
HaUI,Khoa hoc may tinh,2021,True,True
HaUI,Khoa hoc may tinh,2022,True,True
HaUI,Khoa hoc may tinh,2023,True,True
HaUI,Khoa hoc may tinh,2024,True,True
HaUI,Khoa hoc may tinh,2025,True,True
HaUI,Ky thuat may tinh,2019,True,True
HaUI,Ky thuat may tinh,2020,True,True
HaUI,Ky thuat may tinh,2021,True,True
HaUI,Ky thuat may tinh,2022,True,True
HaUI,Ky thuat may tinh,2023,True,True
HaUI,Ky thuat may tinh,2024,True,True
HaUI,Ky thuat may tinh,2025,True,True
HaUI,Ky thuat phan mem,2019,True,True
HaUI,Ky thuat phan mem,2020,True,True
HaUI,Ky thuat phan mem,2021,True,True
HaUI,Ky thuat phan mem,2022,True,True
HaUI,Ky thuat phan mem,2023,True,True
HaUI,Ky thuat phan mem,2024,True,True
HaUI,Ky thuat phan mem,2025,True,True
HaUI,Mang may tinh,2019,True,True
HaUI,Mang may tinh,2020,True,True
HaUI,Mang may tinh,2021,True,True
HaUI,Mang may tinh,2022,True,True
HaUI,Mang may tinh,2023,True,True
HaUI,Mang may tinh,2024,True,True
HaUI,Mang may tinh,2025,True,True
PTIT,An toan thong tin / An ninh mang,2019,True,True
PTIT,An toan thong tin / An ninh mang,2020,True,True
PTIT,An toan thong tin / An ninh mang,2021,True,True
PTIT,An toan thong tin / An ninh mang,2022,True,True
PTIT,An toan thong tin / An ninh mang,2023,True,True
PTIT,An toan thong tin / An ninh mang,2024,True,True
PTIT,An toan thong tin / An ninh mang,2025,True,True
PTIT,Cong nghe thong tin,2019,True,True
PTIT,Cong nghe thong tin,2020,True,True
